Date,Equity
2024-08-06T08:56:00Z,9987.69
2024-08-06T09:30:00Z,9975.40
2024-08-06T09:32:00Z,9996.87
2024-08-06T09:37:00Z,10018.40
2024-08-06T13:23:00Z,10006.47
2024-08-06T13:25:00Z,9886.25
2024-08-06T13:27:00Z,9907.46
2024-08-06T13:31:00Z,9929.19
2024-08-06T14:00:00Z,9950.96
2024-08-06T14:05:00Z,9972.91
2024-08-06T14:07:00Z,9867.32
2024-08-07T09:03:00Z,9889.21
2024-08-07T11:41:00Z,9876.96
2024-08-07T11:43:00Z,9824.27
2024-08-07T11:48:00Z,9845.42
2024-08-07T13:01:00Z,9833.18
2024-08-07T13:32:00Z,9854.37
2024-08-07T13:47:00Z,9842.11
2024-08-07T13:51:00Z,9829.98
2024-08-07T13:53:00Z,9781.49
2024-08-07T13:55:00Z,9733.21
2024-08-07T13:57:00Z,9721.20
2024-08-07T13:59:00Z,9673.19
2024-08-07T14:01:00Z,9661.24
2024-08-07T14:03:00Z,9553.83
2024-08-07T14:05:00Z,9447.49
2024-08-07T14:07:00Z,9342.21
2024-08-07T14:26:00Z,9362.72
2024-08-07T14:33:00Z,9383.34
2024-08-07T14:35:00Z,9403.63
2024-08-07T14:37:00Z,9423.96
2024-08-07T14:39:00Z,9444.34
2024-08-07T14:41:00Z,9464.77
2024-08-07T14:43:00Z,9485.23
2024-08-07T18:19:00Z,9506.32
2024-08-07T18:21:00Z,9379.34
2024-08-07T18:31:00Z,9399.77
2024-08-07T18:33:00Z,9420.19
2024-08-07T18:35:00Z,9440.65
2024-08-07T18:37:00Z,9461.16
2024-08-07T18:39:00Z,9481.71
2024-08-07T18:41:00Z,9502.31
2024-08-07T18:43:00Z,9522.95
2024-08-07T21:43:00Z,9511.32
2024-08-07T21:45:00Z,9531.67
2024-08-07T21:47:00Z,9552.07
2024-08-07T21:49:00Z,9572.52
2024-08-07T22:18:00Z,9560.70
2024-08-07T22:20:00Z,9438.10
2024-08-07T22:22:00Z,9458.42
2024-08-07T22:56:00Z,9446.82
2024-08-07T23:38:00Z,9434.49
